# DPDAK 1.5.0
# Date: 2025-10-26 23:6:4
# 1 Inputs (1): jg_4nm_au_bs_00001.cbf 
x-Axis_1	Intensity_1	
-8.063068E-02	9.157500E+01	
-8.022758E-02	9.640000E+01	
-7.982448E-02	9.837500E+01	
-7.942138E-02	9.745000E+01	
-7.901828E-02	9.097500E+01	
-7.861518E-02	9.552500E+01	
-7.821208E-02	9.147500E+01	
-7.780897E-02	8.185000E+01	
-7.740587E-02	8.702500E+01	
-7.700276E-02	8.667500E+01	
-7.659966E-02	8.792500E+01	
-7.619655E-02	8.912500E+01	
-7.579345E-02	8.910000E+01	
-7.539034E-02	7.840000E+01	
-7.498723E-02	8.935000E+01	
-7.458412E-02	8.292500E+01	
-7.418101E-02	8.897500E+01	
-7.377790E-02	8.127500E+01	
-7.337479E-02	8.330000E+01	
-7.297168E-02	8.407500E+01	
-7.256856E-02	7.687500E+01	
-7.216545E-02	7.942500E+01	
-7.176234E-02	7.975000E+01	
-7.135922E-02	7.687500E+01	
-7.095610E-02	7.880000E+01	
-7.055299E-02	8.042500E+01	
-7.014987E-02	7.637500E+01	
-6.974675E-02	7.900000E+01	
-6.934363E-02	7.822500E+01	
-6.894052E-02	7.700000E+01	
-6.853740E-02	7.455000E+01	
-6.813428E-02	8.012500E+01	
-6.773115E-02	7.527500E+01	
-6.732803E-02	8.295000E+01	
-6.692491E-02	8.315000E+01	
-6.652179E-02	7.740000E+01	
-6.611866E-02	7.087500E+01	
-6.571554E-02	7.680000E+01	
-6.531241E-02	7.520000E+01	
-6.490929E-02	7.035000E+01	
-6.450616E-02	7.672500E+01	
-6.410303E-02	8.642500E+01	
-6.369990E-02	7.352500E+01	
-6.329678E-02	7.622500E+01	
-6.289365E-02	7.830000E+01	
-6.249052E-02	7.885000E+01	
-6.208739E-02	7.880000E+01	
-6.168426E-02	7.525000E+01	
-6.128112E-02	7.345000E+01	
-6.087799E-02	7.705000E+01	
-6.047486E-02	7.620000E+01	
-6.007173E-02	7.430000E+01	
-5.966859E-02	7.070000E+01	
-5.926546E-02	7.695000E+01	
-5.886232E-02	7.295000E+01	
-5.845919E-02	7.632500E+01	
-5.805605E-02	8.232500E+01	
-5.765291E-02	6.630000E+01	
-5.724978E-02	7.730000E+01	
-5.684664E-02	7.240000E+01	
-5.644350E-02	7.425000E+01	
-5.604036E-02	7.525000E+01	
-5.563722E-02	6.542500E+01	
-5.523408E-02	7.960000E+01	
-5.483094E-02	7.265000E+01	
-5.442780E-02	7.110000E+01	
-5.402466E-02	7.472500E+01	
-5.362151E-02	7.902500E+01	
-5.321837E-02	7.255000E+01	
-5.281523E-02	7.567500E+01	
-5.241208E-02	7.580000E+01	
-5.200894E-02	7.775000E+01	
-5.160579E-02	8.100000E+01	
-5.120265E-02	7.592500E+01	
-5.079950E-02	7.935000E+01	
-5.039636E-02	7.280000E+01	
-4.999321E-02	7.575000E+01	
-4.959006E-02	7.502500E+01	
-4.918691E-02	7.787500E+01	
-4.878377E-02	7.965000E+01	
-4.838062E-02	7.725000E+01	
-4.797747E-02	8.305000E+01	
-4.757432E-02	7.337500E+01	
-4.717117E-02	8.105000E+01	
-4.676802E-02	7.787500E+01	
-4.636487E-02	8.420000E+01	
-4.596171E-02	8.237500E+01	
-4.555856E-02	8.590000E+01	
-4.515541E-02	8.797500E+01	
-4.475226E-02	8.305000E+01	
-4.434910E-02	7.702500E+01	
-4.394595E-02	9.060000E+01	
-4.354280E-02	7.930000E+01	
-4.313964E-02	8.722500E+01	
-4.273649E-02	7.750000E+01	
-4.233333E-02	8.315000E+01	
-4.193018E-02	8.307500E+01	
-4.152702E-02	8.542500E+01	
-4.112386E-02	9.020000E+01	
-4.072071E-02	9.730000E+01	
-4.031755E-02	8.320000E+01	
-3.991439E-02	8.905000E+01	
-3.951123E-02	8.787500E+01	
-3.910808E-02	1.000750E+02	
-3.870492E-02	9.535000E+01	
-3.830176E-02	9.632500E+01	
-3.789860E-02	9.067500E+01	
-3.749544E-02	9.330000E+01	
-3.709228E-02	9.437500E+01	
-3.668912E-02	9.670000E+01	
-3.628596E-02	9.827500E+01	
-3.588280E-02	1.038750E+02	
-3.547964E-02	8.802500E+01	
-3.507648E-02	1.063250E+02	
-3.467331E-02	1.005500E+02	
-3.427015E-02	9.897500E+01	
-3.386699E-02	1.086000E+02	
-3.346383E-02	9.755000E+01	
-3.306067E-02	1.034000E+02	
-3.265750E-02	1.063750E+02	
-3.225434E-02	1.142000E+02	
-3.185118E-02	1.101250E+02	
-3.144801E-02	1.119500E+02	
-3.104485E-02	1.146250E+02	
-3.064168E-02	1.147750E+02	
-3.023852E-02	1.186000E+02	
-2.983535E-02	1.215500E+02	
-2.943219E-02	1.235750E+02	
-2.902903E-02	1.256000E+02	
-2.862586E-02	1.211750E+02	
-2.822269E-02	1.219250E+02	
-2.781953E-02	1.289250E+02	
-2.741636E-02	1.193000E+02	
-2.701320E-02	1.339750E+02	
-2.661003E-02	1.351000E+02	
-2.620687E-02	1.376750E+02	
-2.580370E-02	1.440750E+02	
-2.540053E-02	1.395500E+02	
-2.499737E-02	1.461250E+02	
-2.459420E-02	1.402750E+02	
-2.419104E-02	1.452750E+02	
-2.378787E-02	1.505000E+02	
-2.338470E-02	1.472250E+02	
-2.298154E-02	1.629000E+02	
-2.257837E-02	1.479250E+02	
-2.217520E-02	1.618500E+02	
-2.177204E-02	1.685250E+02	
-2.136887E-02	1.722250E+02	
-2.096571E-02	1.760000E+02	
-2.056254E-02	1.820750E+02	
-2.015937E-02	1.745500E+02	
-1.975621E-02	1.871000E+02	
-1.935304E-02	1.922750E+02	
-1.894988E-02	2.022250E+02	
-1.854671E-02	2.009500E+02	
-1.814355E-02	2.027500E+02	
-1.774038E-02	2.172000E+02	
-1.733722E-02	2.268500E+02	
-1.693406E-02	2.288000E+02	
-1.653089E-02	2.299000E+02	
-1.612773E-02	2.490500E+02	
-1.572457E-02	2.479250E+02	
-1.532141E-02	2.656500E+02	
-1.491825E-02	2.604750E+02	
-1.451509E-02	2.699750E+02	
-1.411193E-02	2.905250E+02	
-1.370877E-02	2.974500E+02	
-1.330561E-02	3.125500E+02	
-1.290245E-02	3.139750E+02	
-1.249930E-02	3.135750E+02	
-1.209615E-02	3.447250E+02	
-1.169299E-02	3.707000E+02	
-1.128984E-02	3.845500E+02	
-1.088670E-02	3.969750E+02	
-1.048355E-02	4.013500E+02	
-1.008041E-02	4.330000E+02	
-9.677267E-03	4.607750E+02	
-9.274129E-03	4.943500E+02	
-8.870996E-03	5.185000E+02	
-8.467866E-03	5.429250E+02	
-8.064742E-03	5.922750E+02	
-7.661623E-03	6.402750E+02	
-7.258511E-03	6.626750E+02	
-6.855406E-03	7.361000E+02	
-6.452311E-03	8.001250E+02	
-6.049227E-03	8.980500E+02	
-5.646157E-03	9.773750E+02	
-5.243103E-03	1.074750E+03	
-4.840070E-03	1.232500E+03	
-4.437064E-03	1.405050E+03	
-4.034093E-03	1.616150E+03	
-3.631168E-03	1.959550E+03	
-3.228306E-03	2.344275E+03	
-2.825535E-03	2.972500E+03	
-2.422900E-03	3.856950E+03	
-2.020483E-03	5.479425E+03	
-1.618445E-03	8.284825E+03	
-1.217163E-03	1.423045E+04	
-8.177503E-04	2.891210E+04	
-4.255035E-04	7.348845E+04	
1.360115E-04	2.105446E+05	
4.255035E-04	4.562605E+05	
8.177503E-04	5.277613E+05	
1.217163E-03	2.510751E+05	
1.618445E-03	8.171802E+04	
2.020483E-03	3.195883E+04	
2.422900E-03	1.553900E+04	
2.825535E-03	7.959775E+03	
3.228306E-03	6.209950E+03	
3.631168E-03	4.451575E+03	
4.034093E-03	3.071425E+03	
4.437064E-03	2.415550E+03	
4.840070E-03	1.979400E+03	
5.243103E-03	1.671350E+03	
5.646157E-03	1.410675E+03	
6.049227E-03	1.233500E+03	
6.452311E-03	1.117350E+03	
6.855406E-03	9.784500E+02	
7.258511E-03	8.831750E+02	
7.661623E-03	8.143500E+02	
8.064742E-03	7.540250E+02	
8.467866E-03	6.922000E+02	
8.870996E-03	6.370750E+02	
9.274129E-03	5.840750E+02	
9.677267E-03	5.430000E+02	
1.008041E-02	5.176500E+02	
1.048355E-02	4.875750E+02	
1.088670E-02	4.519500E+02	
1.128984E-02	4.433500E+02	
1.169299E-02	4.253750E+02	
1.209615E-02	3.743000E+02	
1.249930E-02	3.720000E+02	
1.290245E-02	3.571500E+02	
1.330561E-02	3.463500E+02	
1.370877E-02	3.375500E+02	
1.411193E-02	3.115500E+02	
1.451509E-02	2.941500E+02	
1.491825E-02	2.736750E+02	
1.532141E-02	2.831000E+02	
1.572457E-02	2.735750E+02	
1.612773E-02	2.507250E+02	
1.653089E-02	2.465500E+02	
1.693406E-02	2.400250E+02	
1.733722E-02	2.346750E+02	
1.774038E-02	2.264250E+02	
1.814355E-02	2.225750E+02	
1.854671E-02	2.132750E+02	
1.894988E-02	2.054000E+02	
1.935304E-02	1.944500E+02	
1.975621E-02	2.001000E+02	
2.015937E-02	1.939500E+02	
2.056254E-02	1.942000E+02	
2.096571E-02	1.782250E+02	
2.136887E-02	1.744000E+02	
2.177204E-02	1.731000E+02	
2.217520E-02	1.690250E+02	
2.257837E-02	1.610250E+02	
2.298154E-02	1.663250E+02	
2.338470E-02	1.557250E+02	
2.378787E-02	1.530000E+02	
2.419104E-02	1.428500E+02	
2.459420E-02	1.530750E+02	
2.499737E-02	1.485750E+02	
2.540053E-02	1.461500E+02	
2.580370E-02	1.391750E+02	
2.620687E-02	1.385750E+02	
2.661003E-02	1.344750E+02	
2.701320E-02	1.287500E+02	
2.741636E-02	1.306750E+02	
